Port Name,Year,Hour of Day,Demand (kW)
Anchorage,2029,10,132.2
Anchorage,2029,11,132.2
Anchorage,2029,12,132.2
Anchorage,2029,13,132.2
Anchorage,2029,14,132.2
Anchorage,2029,15,132.2
Anchorage,2029,16,132.2
Anchorage,2029,17,976.8
Anchorage,2029,18,132.2
Anchorage,2029,19,132.2
Anchorage,2029,20,132.2
Anchorage,2029,21,132.2
Anchorage,2029,22,132.2
Anchorage,2029,23,132.2
Anchorage,2030,0,157.6
Anchorage,2030,1,157.6
Anchorage,2030,2,1164.6
Anchorage,2030,3,1105.4
Anchorage,2030,4,306.5
Anchorage,2030,5,306.5
Anchorage,2030,6,253.6
Anchorage,2030,7,157.6
Anchorage,2030,8,157.6
Anchorage,2030,9,157.6
Anchorage,2030,10,157.6
Anchorage,2030,11,157.6
Anchorage,2030,12,157.6
Anchorage,2030,13,157.6
Anchorage,2030,14,157.6
Anchorage,2030,15,157.6
Anchorage,2030,16,157.6
Anchorage,2030,17,1164.6
Anchorage,2030,18,157.6
Anchorage,2030,19,157.6
Anchorage,2030,20,157.6
Anchorage,2030,21,157.6
Anchorage,2030,22,157.6
Anchorage,2030,23,157.6
Anchorage,2031,0,183.0
Anchorage,2031,1,183.0
Anchorage,2031,2,1352.5
Anchorage,2031,3,1283.7
Anchorage,2031,4,355.9
Anchorage,2031,5,355.9
Anchorage,2031,6,294.5
Anchorage,2031,7,183.0
Anchorage,2031,8,183.0
Anchorage,2031,9,183.0
Anchorage,2031,10,183.0
Anchorage,2031,11,183.0
Anchorage,2031,12,183.0
Anchorage,2031,13,183.0
Anchorage,2031,14,183.0
Anchorage,2031,15,183.0
Anchorage,2031,16,183.0
Anchorage,2031,17,1352.5
Anchorage,2031,18,183.0
Anchorage,2031,19,183.0
Anchorage,2031,20,183.0
Anchorage,2031,21,183.0
Anchorage,2031,22,183.0
Anchorage,2031,23,183.0
Anchorage,2032,0,213.5
Anchorage,2032,1,213.5
Anchorage,2032,2,1577.9
Anchorage,2032,3,1497.7
Anchorage,2032,4,415.2
Anchorage,2032,5,415.2
Anchorage,2032,6,343.6
Anchorage,2032,7,213.5
Anchorage,2032,8,213.5
Anchorage,2032,9,213.5
Anchorage,2032,10,213.5
Anchorage,2032,11,213.5
Anchorage,2032,12,213.5
Anchorage,2032,13,213.5
Anchorage,2032,14,213.5
Anchorage,2032,15,213.5
Anchorage,2032,16,213.5
Anchorage,2032,17,1577.9
Anchorage,2032,18,213.5
Anchorage,2032,19,213.5
Anchorage,2032,20,213.5
Anchorage,2032,21,213.5
Anchorage,2032,22,213.5
Anchorage,2032,23,213.5
Anchorage,2033,0,244.0
Anchorage,2033,1,244.0
Anchorage,2033,2,1803.3
Anchorage,2033,3,1711.6
Anchorage,2033,4,474.5
Anchorage,2033,5,474.5
Anchorage,2033,6,392.7
Anchorage,2033,7,244.0
Anchorage,2033,8,244.0
Anchorage,2033,9,244.0
Anchorage,2033,10,244.0
Anchorage,2033,11,244.0
Anchorage,2033,12,244.0
Anchorage,2033,13,244.0
Anchorage,2033,14,244.0
Anchorage,2033,15,244.0
Anchorage,2033,16,244.0
Anchorage,2033,17,1803.3
Anchorage,2033,18,244.0
Anchorage,2033,19,244.0
Anchorage,2033,20,244.0
Anchorage,2033,21,244.0
Anchorage,2033,22,244.0
Anchorage,2033,23,244.0
Anchorage,2034,0,274.5
Anchorage,2034,1,274.5
Anchorage,2034,2,2028.7
Anchorage,2034,3,1925.6
Anchorage,2034,4,533.9
Anchorage,2034,5,533.9
Anchorage,2034,6,441.8
Anchorage,2034,7,274.5
Anchorage,2034,8,274.5
Anchorage,2034,9,274.5
Anchorage,2034,10,274.5
Anchorage,2034,11,274.5
Anchorage,2034,12,274.5
Anchorage,2034,13,274.5
Anchorage,2034,14,274.5
Anchorage,2034,15,274.5
Anchorage,2034,16,274.5
Anchorage,2034,17,2028.7
Anchorage,2034,18,274.5
Anchorage,2034,19,274.5
Anchorage,2034,20,274.5
Anchorage,2034,21,274.5
Anchorage,2034,22,274.5
Anchorage,2034,23,274.5
Anchorage,2035,0,310.1
Anchorage,2035,1,310.1
Anchorage,2035,2,2291.7
Anchorage,2035,3,2175.2
Anchorage,2035,4,603.1
Anchorage,2035,5,603.1
Anchorage,2035,6,499.1
Anchorage,2035,7,310.1
Anchorage,2035,8,310.1
Anchorage,2035,9,310.1
Anchorage,2035,10,310.1
Anchorage,2035,11,310.1
Anchorage,2035,12,310.1
Anchorage,2035,13,310.1
Anchorage,2035,14,310.1
Anchorage,2035,15,310.1
Anchorage,2035,16,310.1
Anchorage,2035,17,2291.7
Anchorage,2035,18,310.1
Anchorage,2035,19,310.1
Anchorage,2035,20,310.1
Anchorage,2035,21,310.1
Anchorage,2035,22,310.1
Anchorage,2035,23,310.1
